id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response
9736,1980,graduation,married,41850.0,1,1,2012-12-24,51,53,5,19,2.0,13,4.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0
4939,1946,graduation,together,37760.0,0,0,2012-08-31,20,84,5,38,120.5,12,28.0,2,4,1,6,7,0,0,0,0,0,0,3,11,0
6565,1949,master,married,76995.0,0,1,2013-03-28,91,1012,80,498,0.0,16,126.5,2,11,4,9,5,0,0,0,1,0,0,3,11,0
2278,1985,2n cycle,single,33812.0,1,0,2012-11-03,86,4,17,19,30.0,24,39.0,2,2,1,3,6,0,0,0,0,0,0,3,11,0
9360,1982,graduation,married,37040.0,0,0,2012-08-08,41,86,2,73,69.0,38,48.0,1,4,2,5,8,0,0,0,0,0,0,3,11,0
5376,1979,graduation,married,2447.0,1,0,2013-01-06,42,1,1,556,1.0,1,1.0,15,0,28,0,1,0,0,0,0,0,0,3,11,0
1993,1949,phd,married,58607.0,0,1,2012-12-23,63,867,0,86,0.0,0,19.0,3,2,3,9,8,0,1,0,0,0,0,3,11,0
4047,1954,phd,married,65324.0,0,1,2014-01-11,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,3,11,0
1409,1951,graduation,together,40689.0,0,1,2013-03-18,69,270,3,27,39.0,6,99.0,7,7,1,5,8,0,0,0,0,0,0,3,11,0
7892,1969,graduation,single,18589.0,0,0,2013-01-02,89,6,4,25,15.0,12,13.0,2,2,1,3,7,0,0,0,0,0,0,3,11,0
2404,1976,graduation,married,53359.0,1,1,2013-05-27,4,173,4,30,3.0,6,41.0,4,5,1,4,7,0,0,0,0,0,0,3,11,0
5255,1986,graduation,single,51381.5,1,0,2013-02-20,19,5,1,3,3.0,81,126.5,0,27,0,0,1,0,0,0,0,0,0,3,11,0
9422,1989,graduation,married,38360.0,1,0,2013-05-31,26,36,2,42,20.0,21,10.0,2,2,1,4,3,0,0,0,0,0,0,3,11,0
1966,1965,phd,married,84618.0,0,0,2013-11-22,96,684,81,556,21.0,66,0.0,1,6,9,10,2,0,0,1,0,0,0,3,11,0
6864,1989,master,divorced,10979.0,0,0,2014-05-22,34,8,4,10,2.0,2,4.0,2,3,0,3,5,0,0,0,0,0,0,3,11,0
3033,1963,master,together,38620.0,0,0,2013-05-11,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0
5710,1970,graduation,together,40548.0,0,1,2012-10-10,31,110,0,5,2.0,0,3.0,2,2,1,4,5,0,1,0,0,0,0,3,11,0
7373,1952,phd,divorced,46610.0,0,2,2012-10-29,8,96,12,96,33.0,22,43.0,6,4,1,6,6,0,0,0,0,0,0,3,11,1
8755,1946,master,married,68657.0,0,0,2013-02-20,4,482,34,471,119.0,68,22.0,1,3,5,9,7,0,0,0,0,0,0,3,11,0
10738,1951,master,single,49389.0,1,1,2013-08-29,55,40,0,19,2.0,1,3.0,1,2,0,3,7,0,0,0,0,0,0,3,11,0
4339,1970,phd,married,67353.0,0,1,2013-12-31,37,702,17,151,0.0,8,35.0,5,5,6,12,2,0,0,0,0,0,0,3,11,0
10755,1976,2n cycle,married,23718.0,1,0,2013-09-02,76,6,3,14,15.0,7,36.0,3,3,1,2,7,0,0,0,0,0,0,3,11,0
8595,1973,graduation,widow,42429.0,0,1,2014-02-11,99,55,0,6,2.0,0,4.0,2,1,1,3,5,0,0,0,0,0,0,3,11,0
2968,1943,phd,divorced,48948.0,0,0,2013-02-01,53,437,8,206,120.5,49,42.0,2,7,10,5,6,1,0,0,0,0,0,3,11,1
8601,1980,graduation,married,80011.0,0,1,2013-04-29,3,421,76,536,82.0,81,102.0,2,8,6,5,4,0,0,0,0,0,0,3,11,0
503,1985,master,married,20559.0,1,0,2013-03-12,88,13,1,29,3.0,0,7.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0
8430,1957,graduation,together,21994.0,0,1,2012-12-24,4,9,0,6,3.0,1,3.0,1,0,0,3,5,0,0,0,0,0,0,3,11,0
7281,1959,phd,single,51381.5,0,0,2013-11-05,80,81,11,50,3.0,2,39.0,1,1,3,4,2,0,0,0,0,0,0,3,11,0
2139,1975,master,married,7500.0,1,0,2013-10-02,19,3,1,10,3.0,2,12.0,3,2,0,3,5,0,0,0,0,0,0,3,11,0
1371,1976,graduation,single,79941.0,0,0,2014-06-28,72,123,81,266,120.5,30,126.5,1,2,4,9,1,0,0,0,0,0,0,3,11,0
9909,1996,2n cycle,married,7500.0,0,0,2012-11-09,24,3,18,14,15.0,22,50.0,3,3,1,3,9,0,0,0,0,0,0,3,11,1
7286,1968,graduation,together,41728.0,1,0,2013-05-24,92,13,6,15,3.0,5,13.0,1,2,0,2,10,0,0,0,0,0,0,3,11,0
7244,1951,graduation,single,51381.5,2,1,2014-01-01,96,48,5,48,6.0,10,7.0,3,2,1,4,6,0,0,0,0,0,0,3,11,0
6566,1954,phd,married,72550.0,1,1,2012-11-08,39,826,50,317,50.0,38,38.0,9,5,2,12,8,0,0,0,0,0,0,3,11,0
8614,1957,graduation,widow,65486.0,0,1,2014-05-12,29,245,19,125,37.0,67,14.0,1,4,2,10,2,0,0,0,0,0,0,3,11,0
4114,1964,master,married,79143.0,0,0,2012-08-11,2,650,37,556,27.0,81,32.0,1,6,9,13,3,0,0,0,0,0,0,3,11,0
1331,1977,graduation,single,35790.0,1,0,2013-01-02,54,12,6,20,30.0,1,3.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0
2225,1977,graduation,divorced,82582.0,0,0,2014-06-07,54,510,81,550,120.5,40,126.5,1,4,9,7,1,1,0,0,1,0,0,3,11,1
9381,1978,graduation,married,66373.0,1,1,2013-06-12,57,328,9,124,12.0,24,109.0,7,4,2,10,3,0,0,0,0,0,0,3,11,0
6260,1955,master,together,82384.0,0,0,2012-11-19,55,984,51,432,120.5,81,126.5,1,3,10,13,1,0,0,1,0,0,0,3,11,1
10383,1966,graduation,divorced,70287.0,0,0,2013-04-02,30,295,35,482,120.5,81,40.0,1,5,5,10,3,0,0,0,0,0,0,3,11,1
7437,1988,graduation,single,27938.0,1,0,2014-04-28,31,13,0,8,2.0,1,5.0,1,1,0,4,3,0,0,0,0,0,0,3,11,0
8557,1982,graduation,single,51381.5,1,0,2013-06-17,57,11,3,22,2.0,2,6.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0
8375,1968,phd,married,55954.0,0,1,2014-03-03,63,447,0,28,0.0,0,43.0,3,8,2,6,7,0,0,0,0,0,0,3,11,0
6853,1982,master,single,75777.0,0,0,2013-07-04,12,712,26,538,69.0,13,80.0,1,3,6,11,1,0,1,1,0,0,0,3,11,1
3076,1975,graduation,together,66653.0,1,1,2012-09-07,18,452,18,102,16.0,18,6.0,4,4,2,12,3,0,0,0,0,0,0,3,11,0
1012,1952,graduation,single,61823.0,0,1,2013-02-18,26,523,7,134,37.0,14,126.5,4,8,2,10,7,0,0,0,0,0,0,3,11,0
6518,1951,phd,widow,67680.0,0,1,2013-06-11,8,546,0,48,0.0,6,6.0,1,7,3,8,5,0,0,0,0,0,0,3,11,0
4137,1948,graduation,together,70666.0,0,0,2013-12-06,29,398,40,367,119.0,81,30.0,1,7,4,4,4,0,0,0,0,0,0,3,11,0
8082,1971,graduation,married,25721.0,1,0,2013-05-21,75,1,3,6,3.0,6,15.0,1,1,1,2,7,0,0,0,0,0,0,3,11,1
1386,1967,graduation,together,32474.0,1,1,2014-05-11,0,10,0,1,0.0,0,0.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
9369,1979,2n cycle,single,88194.0,0,1,2014-03-19,19,688,14,309,120.5,24,38.0,1,11,10,10,5,1,0,0,1,0,0,3,11,1
4477,1958,graduation,together,69096.0,0,1,2013-09-27,4,247,49,159,7.0,81,109.0,1,5,2,10,4,0,0,0,0,0,0,3,11,0
1357,1970,graduation,together,74854.0,1,2,2013-04-08,90,856,59,487,58.0,29,73.0,7,2,5,5,5,0,0,0,0,0,0,3,11,0
1402,1954,master,married,66991.0,0,0,2012-09-11,1,496,36,460,120.5,60,12.0,3,4,8,6,3,0,0,0,0,0,0,3,11,0
10629,1973,2n cycle,married,51381.5,1,0,2012-09-14,25,25,3,43,17.0,4,17.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0
6312,1959,graduation,married,65031.0,0,1,2013-03-17,29,258,81,291,84.0,37,86.0,4,10,3,13,7,0,0,0,0,0,0,3,11,0
8132,1975,phd,married,60631.0,1,1,2013-04-05,88,565,6,65,0.0,6,19.0,5,9,2,8,7,0,1,0,0,0,0,3,11,0
1050,1952,graduation,married,28332.0,0,0,2014-04-30,58,14,10,13,4.0,15,9.0,1,2,1,4,2,0,0,0,0,0,0,3,11,0
5846,1977,graduation,divorced,40246.0,1,0,2012-12-19,68,2,1,6,2.0,1,1.0,1,1,0,2,6,0,0,0,0,0,0,3,11,0
1859,1972,master,married,75251.0,0,0,2012-08-27,34,721,81,556,97.0,18,18.0,1,7,6,5,5,0,0,0,0,0,0,3,11,1
7503,1976,graduation,single,75825.0,0,0,2012-10-12,40,1032,81,556,120.5,81,51.0,0,5,8,9,4,1,0,0,0,0,0,3,11,1
10401,1976,2n cycle,together,26326.0,0,0,2013-09-04,12,1,0,5,0.0,3,9.0,1,0,0,3,3,0,0,0,0,0,1,3,11,0
1618,1965,graduation,together,56046.0,0,0,2013-01-02,9,577,0,64,0.0,0,51.0,2,10,1,8,8,1,0,0,0,0,0,3,11,1
3332,1985,graduation,single,29760.0,1,0,2012-08-29,87,64,4,68,7.0,5,17.0,4,3,1,4,8,0,0,0,0,0,0,3,11,0
2261,1969,graduation,married,26304.0,1,0,2013-06-23,5,4,1,5,2.0,0,4.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
5346,1973,2n cycle,married,23559.0,1,0,2013-07-03,87,25,5,19,7.0,0,23.0,3,3,0,3,7,0,0,0,0,0,0,3,11,0
4119,1963,master,together,38620.0,0,0,2013-05-11,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0
535,1987,graduation,divorced,81361.0,0,0,2014-02-25,18,163,23,424,27.0,65,76.0,1,3,10,13,1,0,0,0,0,0,0,3,11,0
5268,1960,graduation,married,29440.0,1,1,2013-08-11,95,17,8,14,10.0,4,3.0,2,1,0,4,7,0,0,0,0,0,0,3,11,0
273,1970,master,married,36138.0,1,1,2013-07-16,48,130,0,16,0.0,0,5.0,5,3,1,4,7,0,1,0,0,0,0,3,11,0
4452,1957,graduation,single,50388.0,0,1,2014-05-28,3,292,6,37,0.0,3,34.0,4,6,1,6,7,0,1,0,1,0,0,3,11,1
8504,1973,graduation,married,79593.0,0,0,2014-05-12,70,350,60,556,110.0,81,126.5,1,5,6,7,2,0,0,1,0,0,0,3,11,0
771,1967,graduation,together,54178.0,0,1,2014-01-21,79,135,9,39,4.0,0,7.0,1,2,2,5,2,0,0,0,0,0,0,3,11,0
8996,1957,phd,married,51381.5,2,1,2012-11-19,4,230,42,192,49.0,37,53.0,12,7,2,8,9,0,0,0,0,0,0,3,11,0
9235,1957,graduation,single,51381.5,1,1,2014-05-27,45,7,0,8,2.0,0,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
5798,1973,master,together,51381.5,0,0,2013-11-23,87,445,37,359,98.0,28,18.0,1,2,4,8,1,0,0,0,0,0,0,3,11,0
11178,1972,master,single,42394.0,1,0,2014-03-23,69,15,2,10,0.0,1,4.0,1,1,0,3,7,0,0,0,0,0,0,3,11,0
2230,1970,phd,married,23626.0,1,0,2014-05-24,84,27,2,14,0.0,0,0.0,3,3,1,3,5,0,0,0,0,0,0,3,11,0
7516,1983,graduation,married,30096.0,1,0,2014-05-22,30,5,3,11,12.0,5,9.0,1,2,0,3,6,0,0,0,0,0,0,3,11,0
7247,1960,graduation,widow,47916.0,0,1,2012-11-22,72,505,0,26,0.0,0,75.0,5,7,4,6,6,0,1,0,0,0,0,3,11,0
11100,1972,graduation,divorced,51813.0,1,1,2013-04-11,37,51,2,7,0.0,1,2.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0
4646,1951,2n cycle,married,78497.0,0,0,2013-12-01,44,207,26,447,75.0,0,126.5,1,5,7,12,2,0,0,0,1,0,0,3,11,0
3037,1983,phd,married,50150.0,0,0,2013-06-20,32,135,46,92,65.0,61,11.0,2,5,2,7,5,0,0,0,0,0,0,3,11,0
1473,1960,2n cycle,single,47823.0,0,1,2013-07-23,0,53,1,5,2.0,1,10.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1016,1959,phd,single,34554.0,0,1,2014-03-30,43,41,1,6,2.0,0,5.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0
4518,1979,graduation,together,85693.0,0,1,2013-04-20,59,386,81,183,120.5,81,111.0,2,9,5,11,5,0,0,0,0,0,0,3,11,0
9370,1945,phd,married,65846.0,0,0,2013-05-17,68,562,81,276,80.0,40,81.0,1,6,3,6,4,0,0,0,0,0,0,3,11,0
8908,1959,graduation,married,87195.0,0,0,2014-05-08,35,217,76,556,50.0,26,38.0,1,3,11,5,1,0,0,0,0,0,0,3,11,1
8373,1979,basic,together,24594.0,1,0,2013-12-10,94,1,3,6,10.0,0,9.0,1,1,0,3,5,0,0,0,0,0,0,3,11,0
7533,1964,graduation,married,49096.0,1,1,2013-09-24,15,144,1,32,2.0,1,7.0,4,4,1,4,7,0,0,0,0,0,0,3,11,0
2683,1969,graduation,married,52413.0,0,2,2013-02-02,56,295,81,271,75.0,81,65.0,4,6,4,12,6,0,0,0,0,0,0,3,11,0
3629,1978,graduation,single,38557.0,1,0,2012-12-19,17,76,3,31,4.0,4,27.0,2,3,1,3,7,0,0,0,0,0,0,3,11,0
10991,1960,master,married,89058.0,0,0,2012-12-07,18,454,81,106,31.0,22,43.0,1,5,4,4,2,0,0,0,0,0,0,3,11,0
5077,1979,graduation,together,77298.0,0,1,2013-11-02,46,425,81,292,23.0,35,79.0,1,6,6,11,3,0,0,0,0,0,0,3,11,0
7431,1991,phd,single,68126.0,0,0,2012-11-10,40,1225,17,311,23.0,51,86.0,1,7,4,5,9,0,1,0,0,0,0,3,11,1
3267,1963,master,together,57288.0,0,1,2014-06-25,27,527,0,21,0.0,0,60.0,3,8,1,8,6,0,1,0,0,0,0,3,11,0
999,1991,graduation,single,86037.0,0,0,2013-01-02,95,490,44,125,29.0,20,22.0,1,6,7,11,3,0,1,1,0,0,0,3,11,1
9215,1980,phd,married,43974.0,1,0,2012-12-12,19,378,0,101,0.0,0,72.0,5,6,4,6,7,0,0,0,0,0,0,3,11,0
2286,1962,graduation,single,50785.0,1,1,2013-09-10,27,64,1,21,0.0,1,27.0,2,2,1,3,6,0,0,0,0,0,0,3,11,0
1592,1970,graduation,married,90765.0,0,0,2014-01-24,25,547,81,556,120.5,81,33.0,0,4,6,5,1,0,0,1,1,0,0,3,11,0
367,1978,2n cycle,married,36550.0,1,0,2013-02-19,74,47,81,94,120.5,81,120.0,5,9,1,5,9,0,0,0,0,0,0,3,11,0
5234,1967,2n cycle,together,30753.0,1,1,2013-07-11,85,12,5,25,0.0,9,30.0,2,1,1,3,5,0,0,0,0,0,0,3,11,0
9862,1969,graduation,together,21918.0,1,0,2013-11-14,37,1,6,7,11.0,5,3.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0
9805,1953,master,together,56129.0,0,1,2013-06-20,65,320,48,133,39.0,72,48.0,4,6,2,10,4,0,0,0,0,0,0,3,11,0
6205,1967,master,single,32557.0,1,0,2014-02-24,13,34,3,29,0.0,4,10.0,3,2,1,3,5,0,0,0,0,0,0,3,11,1
8442,1985,master,married,19510.0,2,0,2013-09-04,63,9,0,7,3.0,4,7.0,2,1,0,3,7,0,0,0,0,0,0,3,11,0
7386,1976,graduation,divorced,30992.0,1,0,2013-04-22,83,17,0,14,7.0,3,2.0,1,1,0,3,7,0,0,0,0,0,0,3,11,0
7215,1983,graduation,single,101970.0,0,0,2013-03-12,69,722,27,102,44.0,72,126.5,0,6,8,13,2,0,1,1,1,0,0,3,11,1
1491,1965,2n cycle,together,71488.0,0,0,2013-02-18,87,162,33,124,40.0,28,126.5,2,3,4,7,1,0,0,0,0,0,0,3,11,0
11071,1984,graduation,single,79607.0,0,0,2013-04-21,37,450,81,556,120.5,0,126.5,1,3,6,6,1,0,0,0,0,0,0,3,11,1
3381,1953,master,married,54348.0,1,1,2014-06-08,51,70,0,16,0.0,0,4.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0
8268,1961,phd,married,51381.5,0,1,2013-07-11,23,352,0,27,10.0,0,15.0,3,6,1,7,6,0,0,0,0,0,0,3,11,0
11051,1956,phd,together,77376.0,1,1,2014-05-10,72,492,19,110,16.0,12,12.0,4,6,3,10,4,0,0,0,0,0,0,3,11,0
8026,1952,graduation,married,62998.0,0,1,2013-09-30,10,120,58,73,65.0,81,58.0,5,5,4,5,5,0,0,0,0,0,0,3,11,0
433,1958,master,alone,61331.0,1,1,2013-03-10,42,534,5,47,0.0,5,41.0,5,11,1,6,8,0,0,0,0,0,0,3,11,0
9597,1969,graduation,married,73448.0,0,0,2014-02-10,10,236,81,189,23.0,41,126.5,1,7,2,9,4,0,0,0,0,0,0,3,11,0
1295,1963,graduation,married,51381.5,0,1,2013-08-11,96,231,65,196,38.0,71,124.0,1,6,5,7,4,0,0,0,0,0,0,3,11,0
5290,1964,phd,married,41551.0,1,1,2013-08-14,51,220,0,33,3.0,0,23.0,5,5,1,5,8,0,0,0,0,0,0,3,11,0
1685,1967,phd,together,62981.0,0,0,2013-03-17,21,796,14,556,38.0,44,0.0,1,4,5,13,3,0,1,0,0,0,0,3,11,0
5342,1976,basic,divorced,9548.0,1,0,2012-08-08,31,0,1,3,10.0,6,9.0,2,1,0,3,8,0,0,0,0,0,0,3,11,0
9579,1959,phd,married,33762.0,2,1,2013-07-07,61,53,1,34,2.0,0,16.0,3,2,2,2,8,0,0,0,0,0,0,3,11,0
7660,1973,phd,alone,35860.0,1,1,2014-05-19,37,15,0,8,4.0,2,20.0,2,1,1,2,5,1,0,0,0,0,0,3,11,1
1461,1965,phd,divorced,36921.0,1,1,2013-07-28,74,17,1,12,3.0,1,4.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0
821,1992,master,single,92859.0,0,0,2012-10-19,46,962,61,556,52.0,61,20.0,1,5,4,12,2,0,0,0,0,0,0,3,11,0
11084,1976,master,together,65104.0,0,1,2013-11-14,4,738,0,232,13.0,20,50.0,2,3,5,7,7,0,0,0,0,0,0,3,11,1
8690,1962,graduation,married,86111.0,0,0,2013-04-19,73,399,28,556,36.0,40,126.0,1,5,7,10,2,0,0,0,0,0,0,3,11,0
2937,1974,phd,single,68352.0,0,1,2013-08-28,47,614,16,132,43.0,33,33.0,3,8,5,9,6,0,0,0,0,0,0,3,11,0
9701,1988,graduation,together,41883.0,1,0,2013-03-19,13,32,34,41,73.0,16,116.0,3,4,2,3,7,0,0,0,0,0,0,3,11,0
9949,1976,graduation,married,59809.0,0,2,2012-10-18,36,598,16,141,32.0,41,49.0,3,3,3,6,8,0,0,0,0,0,0,3,11,0
10837,1975,graduation,married,23957.0,1,0,2012-10-28,47,2,1,18,20.0,11,16.0,1,2,0,3,6,0,0,0,0,0,0,3,11,1
3120,1981,graduation,together,38547.0,1,0,2013-08-28,49,6,1,10,0.0,1,4.0,1,1,0,2,8,0,0,0,0,0,1,3,11,0
5885,1973,2n cycle,married,35688.0,2,1,2012-08-22,94,73,3,90,12.0,1,32.0,7,4,1,4,8,0,0,0,0,0,0,3,11,0
4050,1966,master,married,49605.0,0,0,2014-06-21,65,42,16,29,12.0,20,8.0,1,2,1,4,3,0,0,0,0,0,0,3,11,0
3830,1953,master,married,59354.0,0,2,2014-04-24,59,295,21,78,39.0,13,13.0,1,4,4,7,3,0,0,0,0,0,0,3,11,0
7987,1969,graduation,married,65747.0,0,1,2014-03-07,96,346,17,48,23.0,13,13.0,4,8,1,6,6,0,1,0,0,0,0,3,11,0
7798,1972,2n cycle,together,46344.0,0,1,2012-12-14,28,233,20,57,8.0,20,91.0,4,7,1,5,7,0,0,0,0,0,0,3,11,0
92,1988,graduation,alone,34176.0,1,0,2014-05-12,12,5,7,24,19.0,14,20.0,4,3,0,4,6,0,0,0,0,0,0,3,11,0
7055,1952,phd,together,61010.0,0,1,2012-10-09,57,888,0,57,0.0,0,76.0,2,8,5,11,5,0,0,0,0,0,0,3,11,0
10240,1949,graduation,together,69372.0,0,0,2013-02-19,10,997,26,269,34.0,13,42.0,1,10,4,6,4,0,1,1,0,0,0,3,11,1
3025,1958,graduation,single,49967.0,0,1,2013-07-08,4,212,6,69,4.0,12,3.0,3,6,1,5,7,0,0,0,0,0,0,3,11,0
9283,1978,graduation,single,60199.0,1,2,2013-09-12,49,8,1,7,2.0,0,0.0,1,0,0,3,4,0,0,0,0,0,0,3,11,0
9970,1977,graduation,together,55375.0,0,1,2013-10-17,3,42,11,57,10.0,28,14.0,1,1,1,6,2,0,0,0,0,0,0,3,11,0
2730,1955,graduation,single,80317.0,0,0,2013-08-20,64,536,11,387,120.5,81,57.0,1,3,4,10,1,0,0,0,0,0,0,3,11,0
2795,1958,master,single,30523.0,2,1,2013-07-01,0,5,0,3,0.0,0,5.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
9260,1945,phd,married,70356.0,0,0,2012-11-05,20,1225,16,249,43.0,16,33.0,2,10,6,9,6,0,0,0,0,0,0,3,11,0
8182,1984,graduation,married,23228.0,1,0,2014-01-05,91,53,3,49,7.0,4,5.0,4,3,0,4,8,0,0,0,0,0,0,3,11,0
10095,1975,phd,divorced,74165.0,0,0,2013-05-01,9,1001,12,240,16.0,12,12.0,1,5,4,10,2,0,0,0,0,0,0,3,11,0
8475,1973,phd,married,117416.25,0,1,2014-03-01,98,20,2,556,1.0,2,1.0,15,0,22,0,0,0,0,0,0,0,0,3,11,0
4370,1966,graduation,together,43482.0,2,1,2013-11-13,83,18,1,32,6.0,3,28.0,3,2,0,4,6,0,0,0,0,0,0,3,11,0
10573,1953,graduation,divorced,62551.0,0,0,2013-11-18,27,125,16,98,120.5,21,27.0,1,6,7,4,3,1,0,0,0,0,0,3,11,0
3712,1959,graduation,divorced,52332.0,0,0,2013-08-28,63,212,5,33,7.0,0,2.0,1,3,2,6,4,0,1,0,0,0,0,3,11,0
6637,1988,graduation,single,66951.0,0,0,2013-11-02,46,277,81,305,120.5,76,124.0,1,3,4,7,1,0,0,0,0,0,0,3,11,0
3152,1957,graduation,together,26091.0,1,1,2014-02-25,84,15,10,19,8.0,17,20.0,3,2,1,3,5,0,0,0,0,0,0,3,11,0
5610,1965,graduation,together,33456.0,1,1,2014-04-21,58,7,3,10,8.0,1,7.0,2,1,0,3,7,0,0,0,0,0,0,3,11,0
6460,1982,graduation,married,28718.0,1,0,2013-07-13,78,12,4,6,11.0,8,16.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1349,1970,graduation,married,50447.0,2,0,2014-04-21,4,85,7,24,2.0,3,27.0,1,3,1,3,6,0,0,0,0,0,0,3,11,0
1880,1959,phd,together,53537.0,1,1,2014-01-30,17,81,0,6,0.0,0,6.0,2,2,1,3,5,0,0,0,0,0,0,3,11,0
641,1967,graduation,single,52074.0,0,1,2014-04-04,77,59,0,12,0.0,0,48.0,1,2,2,2,4,1,0,0,0,0,0,3,11,0
8717,1975,phd,married,80427.0,0,1,2012-09-12,56,1149,71,449,69.0,71,26.0,1,11,8,8,5,0,0,0,0,0,0,3,11,0
10314,1948,phd,married,83837.0,0,0,2012-12-16,79,847,66,119,86.0,81,111.0,1,9,10,5,4,0,1,0,1,0,0,3,11,1
10854,1970,phd,married,38853.0,1,1,2014-05-23,90,29,0,14,0.0,0,2.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0
10492,1959,graduation,together,38285.0,2,1,2014-06-24,96,2,0,5,2.0,0,1.0,1,0,0,3,2,0,0,0,0,0,0,3,11,0
6935,1951,2n cycle,married,78497.0,0,0,2013-12-01,44,207,26,447,75.0,0,126.5,1,5,7,12,2,0,0,0,1,0,0,3,11,0
7698,1976,phd,married,51650.0,0,1,2014-05-11,81,152,3,22,2.0,5,7.0,1,4,1,4,5,0,0,0,0,0,0,3,11,0
3559,1988,2n cycle,married,16248.0,1,0,2014-05-10,77,12,11,10,3.0,12,9.0,3,2,1,3,6,0,0,0,0,0,0,3,11,0
10562,1946,master,married,66835.0,0,0,2013-09-28,21,620,26,195,34.0,17,126.5,1,6,4,13,2,0,0,0,0,0,0,3,11,0
10796,1984,master,married,30477.0,1,0,2014-01-22,16,47,1,6,0.0,0,12.0,1,1,1,3,6,0,0,0,0,0,0,3,11,0
